legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
23cc90c8afb441639a37ac3d7a9e4fe5,10737,某部机关院内及教导队营房维修项目,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,542,cb85b1d0fdf94c009abe1ff6069b9d27,,,,109485,16982984907580001
240dd8ff5659498887a53149a9bb0d8c,10640,东风水库、高脚水水库水毁应急抢险工程,,正式项目,1,四川保盛建设集团有限公司,10730001,水利水电工程,1,联营,,,,0,448,fe12b8bb9a574ff591ef6d51b0940ca3,,,,109561,16982985587730000
2455ba28390e4456a6d81d35f170b305,17676812392460000,陈小刚零星劳务工程,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,006db6a90bbf226d4d37321a231351e4,,,,258461,17691387922910000
24be53b1b08345649d8f3786e0725e60,10620,绵阳外国语学校校园防水维修服务,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,联营,,,,0,428,289c3e18988643aaa09c40dacf4e3ebb,,,,109577,16982985607260000
258b21f44ab54667a6829247d381d5a6,17521367810110000,四川建筑职业技术学院德阳校区2025年大型修缮项目,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,a7ca1d6644fe48719dbb08e19d03951b,,,,223769,17543642764030000
25b4b41289db4972b662289d6ff3749f,10501,经开区市政设施零星工程维护,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,310,68e777b3840f42cd86598b44782d8841,,,,109685,16982985746630001
2654c8c1ef73434dbdd7c45812a573db,10351,中国移动四川公司全省市州分公司2019-2022年管理用房及生产枢纽楼公共区域零星维修服务项目（标包1）,,正式项目,141,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,184,c8c4da1ee1e14411a2a09c79b198f2c3,,,,109768,16982986156470000
267ac2470a1e48ccbd665b5a08e2ff9c,10678,德阳饶益四组小二楼观潮起项目,,正式项目,1,四川保盛建设集团有限公司,10740001,土石方工程,1,联营,,,,0,484,51c61a609ccb48dd806563598c33660c,,,,109528,16982984964460000
26a87546cbc24afcb6852904c53cf90c,17580040402320000,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,16bdd2a8d7e5886461eecd65f129154b,,,,238992,17659359746700000
26f685eeab8b4ab5a7942ac6cf1a2982,10506,包维柏工程,,正式项目,1,四川保盛建设集团有限公司,3220001,公路交通,1,联营,,,,0,315,b534fa6cf25144c4a734a1cdc99c9aa2,,,,109680,16982985740540001
273761d991fe4d4096abe5279b44b776,17038319742470000,集团五楼男卫生间渗水修缮项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,0,,4d2ac27b9632a6989b8f97f503f6c1a7,,,,121380,17041788775050000
273ebc3fe2784a59b7a6aee30575081d,17545278685940000,涪城区丰谷镇2025年大中型水库移民后期扶持资金项目（中央第一批）,,,1,四川保盛建设集团有限公司,440001,水利工程,1,联营,,,,1,,fa2f69ad6ef978aca5968b8d6cc25dd6,,,,223943,17546198640780000
