legacy_project_id,target_lifecycle_state,target_phase_key,target_stage_xmlid
560ae40a3f244039bc3e6944959d80f1,in_progress,execution,smart_construction_core.project_stage_running
56627cf2610e4345ba195ef14c1ddd17,in_progress,execution,smart_construction_core.project_stage_running
56e3011796694d71baaf4bc868ce37c7,in_progress,execution,smart_construction_core.project_stage_running
573f606161ae486ba27422b42781f1dc,in_progress,execution,smart_construction_core.project_stage_running
5776e5836ee949b7a464ad53fb0000cb,in_progress,execution,smart_construction_core.project_stage_running
57925b24d00a47ddafa39631e8df9951,in_progress,execution,smart_construction_core.project_stage_running
57bd7e81163b4800ad47fbe092c8d58f,in_progress,execution,smart_construction_core.project_stage_running
57dfa8223dae43c999c1d2e26650453f,in_progress,execution,smart_construction_core.project_stage_running
59680a7bdc344036bf1bc659f9090814,in_progress,execution,smart_construction_core.project_stage_running
59a29f63bee94720b7e85f4d48b2c72e,in_progress,execution,smart_construction_core.project_stage_running
5a4ab1da8abf45089d9b6b24e07b1296,in_progress,execution,smart_construction_core.project_stage_running
5a6292b632ec46a0b55645e68028157c,in_progress,execution,smart_construction_core.project_stage_running
5b42b379257242539e27ddb3ff34fcfc,in_progress,execution,smart_construction_core.project_stage_running
5b60b4bec4114f6dbda0d2706c0fce0a,in_progress,execution,smart_construction_core.project_stage_running
5b8510c8256946c29cde293937443344,in_progress,execution,smart_construction_core.project_stage_running
5c44a17531ae4105bde23f05303bda78,in_progress,execution,smart_construction_core.project_stage_running
5c4db999649c43aa91e9a94014abfbc5,in_progress,execution,smart_construction_core.project_stage_running
5ce3a10946434bf3bb1a79351d5de269,in_progress,execution,smart_construction_core.project_stage_running
5d3979512ead4bd8a20d8053164a516a,in_progress,execution,smart_construction_core.project_stage_running
5ddc008baa11420ebb0485734c073a75,in_progress,execution,smart_construction_core.project_stage_running
5de86b43f29448b9822ccef8c2c5edc5,in_progress,execution,smart_construction_core.project_stage_running
5e286add68254849ab587a81f407f401,in_progress,execution,smart_construction_core.project_stage_running
5eddae1dfcf446fb963edf1fd3925db3,in_progress,execution,smart_construction_core.project_stage_running
5ff6d476b782459db42c01e366ed73a7,in_progress,execution,smart_construction_core.project_stage_running
600fa2546bb14411ab99b72fd892a64e,in_progress,execution,smart_construction_core.project_stage_running
60a2b8f9977543a99d04daa5c8b78af9,in_progress,execution,smart_construction_core.project_stage_running
615e67a1e771454bb8618d795c692760,in_progress,execution,smart_construction_core.project_stage_running
616ed34f2e0040da880cf3913cdf6700,in_progress,execution,smart_construction_core.project_stage_running
62b1d6342b754ae5bf6b344dc1be010e,in_progress,execution,smart_construction_core.project_stage_running
62dbc2a8200f45f88f8a8584141af871,in_progress,execution,smart_construction_core.project_stage_running
63151c4e794243ec8a52e85d9c0eb410,in_progress,execution,smart_construction_core.project_stage_running
6379e48fed5748af876b694457c00a80,in_progress,execution,smart_construction_core.project_stage_running
64127fa422624757bc12f7dae485c234,in_progress,execution,smart_construction_core.project_stage_running
64805c7a472d4136be2a82d9ec9a793f,in_progress,execution,smart_construction_core.project_stage_running
64e0706eed044170b60295774f2fb924,in_progress,execution,smart_construction_core.project_stage_running
64f83d6cd91a459c9609c48a8e98889d,in_progress,execution,smart_construction_core.project_stage_running
65261c6899f64e658c76735183a388a4,in_progress,execution,smart_construction_core.project_stage_running
65b2b2e4f19143b2b42e4c6f1da469a9,in_progress,execution,smart_construction_core.project_stage_running
65e7a3336fe04151962cc866422cd5fa,in_progress,execution,smart_construction_core.project_stage_running
6685fcb7a6614a0d89558d44653aec8c,in_progress,execution,smart_construction_core.project_stage_running
66b66086a7144848ba8194ce7db8f101,in_progress,execution,smart_construction_core.project_stage_running
66bc67e86f8e4f4c88186af4a70104fd,in_progress,execution,smart_construction_core.project_stage_running
66efda2bb2b54b13965122fd2bb35618,in_progress,execution,smart_construction_core.project_stage_running
682991317e43497dbb4119f9990fe0ce,in_progress,execution,smart_construction_core.project_stage_running
6890dd7cde4446059d33a86af5e8ec7a,in_progress,execution,smart_construction_core.project_stage_running
