external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_01ffc072414341f58d54ff76f1eb0b57,5452,PRQ2605452,700000.00,1,700000.00,legacy_actual_outflow_sc_57e59e675f1741beb13b09d825b34870,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0201d68f0cfa47d780be0f6b5247fc93,5453,PRQ2605453,13670.00,1,13670.00,legacy_actual_outflow_sc_4ec2d069f54c4041b30204dd53fd69ef,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_020238a3a1264bc69c49765d122ef950,5454,PRQ2605454,41626.00,1,41626.00,legacy_actual_outflow_sc_3e793203ee804e0f9b45e897a9aa4b18,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_02041064007a4fa2bbf4bb2ddd2278fb,5455,PRQ2605455,50040.00,1,50040.00,legacy_actual_outflow_sc_19d6444fd21143e8b9763fcdd8499767,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_020982a0ed5947bc9350584d70e73b7b,5456,PRQ2605456,367859.00,1,367859.00,legacy_actual_outflow_sc_f1e867068fcc4439af45115288a23306,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_020c1fe41e6446b985cd2094404a6a0c,5457,PRQ2605457,199800.00,1,199800.00,legacy_actual_outflow_sc_d65e5d6069894d20891a193b335ccb8a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0219859f7f5747f395abb1447c2645b5,5458,PRQ2605458,50000.00,1,50000.00,legacy_actual_outflow_sc_ac6da5c8b6254676b4f469124d0f5ae3,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_021d8c060f60400cbd7049a0394d4bb9,5459,PRQ2605459,31010.00,1,31010.00,legacy_actual_outflow_sc_938967eb1ff14fefaa8dca3568a550fd,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0230396e10f345ee84d9236a4ec34680,5460,PRQ2605460,50000.00,1,50000.00,legacy_actual_outflow_sc_1edf763164fe45038d9829bbb903beb1,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0231dfc6b2044aac9e743fcc88c6ad84,5461,PRQ2605461,3198.50,1,3198.50,legacy_actual_outflow_sc_dafcfe76e7fc448ba3af97a0717e175f,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0239f2e9addb42b8a7fa94df9634075b,5462,PRQ2605462,25803.00,1,25803.00,legacy_actual_outflow_sc_eab63e4513a74fdcb6d17d897f49975a,done,validated,historical_paid_by_downstream_business_fact
